index,img_name,img_1,img_2,img_3,txt_1,txt_2,txt_3,trialType
27,Carrot,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_carrot_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_carrot_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\carrot_img3.png,CAROTTE,CAROTTE,CAROTTE,main
28,Gate,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_gate_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_gate_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\gate_img3.png,SAUTERELLE,SAUTERELLE,BARRIÈRE,main
29,Airplane,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_airplane_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_airplane_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\airplane_img3.png,AVION,AVION,AVION,main
30,Swing Set,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_swing set_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_swing set_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\swing set_img3.png,ÉTANG,ÉTANG,BALANÇOIRES,main
31,Telephone,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_telephone_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_telephone_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\telephone_img3.png,BOUTEILLE D'ENCRE,BOUTEILLE D'ENCRE,TÉLÉPHONE,main
32,Anchor,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_anchor_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_anchor_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\anchor_img3.png,ANCRE,ANCRE,ANCRE,main
33,Rocket,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_rocket_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_rocket_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\rocket_img3.png,FUSÉE,FUSÉE,FUSÉE,main
34,Iron,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_iron_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_iron_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\iron_img3.png,VESTE,VESTE,FER À REPASSER,main
35,Strawberry,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_strawberry_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_strawberry_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\strawberry_img3.png,FRAISE,FRAISE,FRAISE,main
36,Windmill,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_windmill_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_windmill_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\windmill_img3.png,HÉLICE,HÉLICE,HÉLICE,main
37,Mouse,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_mouse_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_mouse_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\mouse_img3.png,SOURIS,SOURIS,SOURIS,main
38,Turkey,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_turkey_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_turkey_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\turkey_img3.png,AIGUILLE,AIGUILLE,DINDE,main
39,Cactus,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_cactus_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_cactus_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\cactus_img3.png,CACTUS,CACTUS,CACTUS,main
40,Palm Tree,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_palm tree_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_palm tree_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\palm tree_img3.png,PUDDING,PUDDING,PALMIER,main
